Offense,Defense,SuccessRate,AvgGain,AvgDistance,StdDistance,AvgCoverage
Pass rapide (slant),Cover 2,0.634,2.6928837835928823,7.02767924290241,0.2722366313959618,0.6413696526731306
Pass rapide (slant),Cover 3,0.5185,2.179339262430506,4.969755442710256,0.9290352034341544,0.7272638609927494
Pass rapide (slant),Man-to-Man,0.6965,3.1134762966863723,7.509140236332758,0.622415403108239,0.4346749150387703
Pass rapide (slant),Blitz 1,0.687,2.9355630402681143,7.645926021899618,0.6610984284425506,0.5625600170122784
Pass rapide (slant),Blitz 2,0.673,2.9080297718964925,7.443988643655499,0.5702165639340614,0.545113655117606
Pass rapide (slant),Blitz 3,0.687,3.305343255365275,7.221512409004692,1.12428797695296,0.22624550141996838
Pass rapide (slant),4-3 Front,0.661,2.7596286221863005,7.312273553877307,0.39524311440641025,0.6403636332807029
Pass rapide (slant),3-4 Front,0.5405,1.90522598452795,5.496729589179576,0.6687564083028694,1.062879781404712
Passe longue (go route),Cover 2,0.8335,15.613260243080662,10.330424455902975,0.6542629342926028,0.3304803833092423
Passe longue (go route),Cover 3,0.748,13.694402837249408,8.875440587893511,1.6997630198127984,0.4611701014188002
Passe longue (go route),Man-to-Man,0.904,18.015836856631182,12.953086329000067,1.5775837535075203,0.03989322684780208
Passe longue (go route),Blitz 1,0.8595,16.4826984417194,11.412879817405926,1.0912313909972615,0.2168369429666296
Passe longue (go route),Blitz 2,0.9045,17.952563802865388,13.958081260395218,2.2681507812989716,0.06858231611791181
Passe longue (go route),Blitz 3,0.879,17.863808747554767,14.167143232386303,2.803506263445707,0.02965496853467602
Passe longue (go route),4-3 Front,0.7855,14.476852000896836,9.419489953328256,1.02867698189778,0.36465036949003193
Passe longue (go route),3-4 Front,0.7715,14.121335963350043,9.482777755131979,1.1105571289077203,0.43461639152737236
Course intérieure,Cover 2,0.8935,3.4541440802753676,12.380203054796723,0.507579716562983,0.1026719192215922
Course intérieure,Cover 3,0.683,2.2069549445420766,7.581072340301075,0.4610768405772787,0.5265287421641986
Course intérieure,Man-to-Man,0.6985,2.365355345003239,7.546349588290668,0.4723419286901795,0.4579281132221982
Course intérieure,Blitz 1,0.854,3.1439327324846205,10.529068148634119,0.25254817973030136,0.2357658996385876
Course intérieure,Blitz 2,0.802,2.8536018522882225,10.004075396135072,0.25103901015476127,0.3229863302441272
Course intérieure,Blitz 3,0.3825,0.7444560840412452,3.0761182866006465,0.5163625595215912,1.2003526992055222
